SMILES,96-Plate,96-Well,16h Raw R1,16h Raw R2
O=C([C@H]1N2C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@]3([H])[C@@]([H])(CCC3)OC/C=C/C(F)(F)C3=NC4=CC=CC=C4N=C3O[C@@]([H])(C2)C1)N[C@@]1(C(NS(=O)(C2(C)CC2)=O)=O)[C@H](C(F)F)C1,10-1,D05,1.117,1.119
O=C(C1=CC=CN=C1)NCCNC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O,10-1,D06,1.135,1.172
O=C(O)CNC1=NC(CN(CC2=CC=C(N3N=CC=C3)C=C2)S(=O)(C2=CC=CN=C2)=O)=CC=C1,10-1,D07,1.147,1.172
O=C(C1=CC=NC2=CC=CC=C12)N[C@@H]1C[C@@H](CC2=CC=C(Cl)C=C2)N(C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=O)CC1,10-1,D08,1.205,1.267
O=C(O)C[C@H]1CN(C2=NC(SCCC)=C(C(NC3CCCCC3)=O)C=C2)CCC1,10-1,D09,1.186,1.271
N#CC1=CC=C(C2=CC=C(S(NC3=NC(N)=CC=C3)(=O)=O)C=C2)C=C1,10-1,D10,1.169,1.248
O=C(C1=CC2=CC=CC=C2O1)N[C@H]1[C@H](CC2=CC=CN=C2)N2CCC1CC2,10-1,D11,1.21,1.264
ClC1=C(Cl)C=C(S(=O)(N2CCN(C[C@@H](NC3=NC=NC4=C3SC=C4C)C)CC2)=O)C=C1,10-1,E02,1.201,1.213
COC1=CC2=C(C=C1OC)C(N1CC[C@@H](OC3=NC4=C(C=CC=C4)N=C3)C1)=NC=N2,10-1,E03,1.161,1.186
N#CC1=CC=C(N2C(=O)N(C)[C@](CO)(C3=CC=CC=C3)C2=O)C=C1C(F)(F)F,10-1,E04,1.209,1.237
N#CC1=CC=C(N2C(=O)N(C)[C@](C3=CC=CC=C3)(CO)C2=O)C=C1C(F)(F)F,10-1,E05,1.186,1.221
O=C(OCC1=CC=CC=C1)C1(CC2=CC=C(S(=O)(C)=O)C=C2)N(C(C)=O)CCC1,10-1,E06,1.14,1.174
O=C(O)C1=CC=C(N2N=CC(C(NC3C4CC5CC(C4)CC3C5)=O)=C2C(C)(C)C)C=C1,10-1,E07,1.139,1.171
N#CC1=NC=C(NC2=NC=C(C3=CN(C)N=C3)C(OC)=C2)N=C1O[C@H](C)CN(C)C,10-1,E08,1.19,1.244
COC1=C(N2CCOCC2)C=C(C(CN2CC3=C(C(F)=C(OCC)C(OCC)=C3)C2=N)=O)C=C1C(C)(C)C,10-1,E09,1.221,1.247
O=C(CCC(O[Na])=O)N([C@H](CC(C=C1)=CC=C1C2=CC=CC=C2)C[C@@H](C)C(OCC)=O)[H].O=C(O[Na])[C@@H](N(C(CCCC)=O)CC3=CC=C(C4=CC=CC=C4C5=NN=NN5[Na])C=C3)C(C)C.[2.5H2O],10-1,E10,1.198,1.249
CCC(C)CNCC(=O)N1CCC2=C(C=CS2)C1COC1=CC=CC(C)=C1,10-1,E11,1.21,1.264
O=C1N(CC2=CC=CN=C2)C(C2=CC=C(OC)C(COC3=C(C)C=CC=C3C)=C2)NC2=C1C=CC=C2,10-1,F02,1.245,1.249
COC1=C(OC)C(OC)=CC(C(NC(NC2=CC(NC(C3=CC=C(C4=CC=CC=C4)C=C3)=O)=C(C)C=C2)=N)=O)=C1,10-1,F03,1.229,1.238
O=C(C1=C(C)N(CC(C)(O)C)N(C2=CC=CC=C2)C1=O)NC1=CC=C(OC2=CC=NC3=CC(OC)=CC=C23)C(F)=C1,10-1,F04,1.16,1.182
O=C(NC1=CC(COC2=CC=CN=C2)=NN1)NC1=CC(C(C)(C)C)=NN1C1=CC=C(C)C=C1,10-1,F05,1.26,1.277
NCC1=CC(Cl)=C(OC2=CC=C3COB(O)C3=C2)C=C1,10-1,F06,1.023,1.02
ClC1=C(Cl)C=C(C23CC2CNC3)C=C1,10-1,F07,1.163,1.194
O=C(NC1=CC=C(C2=NC(N3[C@@H](C)COCC3)=C3C(=N2)CN(C2=NC=CC=N2)CC3)C=C1)NCC,10-1,F08,1.18,1.247
ClC1=CC(NC2=C([N+]([O-])=O)C3=NON=C3C=C2)=CC(F)=C1,10-1,F09,1.151,1.171
O=C(N1C=CN=C1)C1=C(C)OC=C1,10-1,F10,1.182,1.218
OC(C)(C)C1=NC=C(N2[C@H](C)CN(C3=NN=C(CC4=CC=CC=C4)C(C)=C3C)CC2)N=C1,10-1,F11,1.209,1.236
O=C1C2=CC=CC3=C2C(=CC=C3)C(=O)N1CCNCC1=NN=C(C)S1,10-1,G02,1.172,1.172
O=C1C2=CC=CC3=C2C(=CC=C3N(C)C)C(=O)N1CCNCC1=NN=C(C)S1,10-1,G03,1.202,1.199
OC(C(OC(C)(C)C)C1=C(C2=CC3=C(OCCC3)C=C2)C2=C(C=CC=C2)N=C1C)=O,10-1,G04,1.275,1.254
O=S(C1=C(F)C=CC(Cl)=C1)(NC1=CC=C(C2=NC3=C(C(N)=NN3)N=C2)C=C1)=O,10-1,G05,1.127,1.114
OC(C(OC)=O)CCN1C2=C(C(N)=NC=N2)N=C1,10-1,G06,1.198,1.196
O=C1C=CC2=CN=C(NC3=CC=C(OCCN)C=C3)N=C2N1C1C2CC(CC2)C1,10-1,G07,0.996,1.006
O=C(OC)CCSCC1=CC=C(C2=C(NC(OC(C3=CC=CC=C3Cl)C)=O)C(C)=NO2)C=C1,10-1,G08,1.239,1.264
O=C(OCC1=NC(N)=NC(NC2=CC=CC=C2)=N1)C1=CC=C([N+]([O-])=O)C=C1,10-1,G09,1.193,1.225
O=C1N(C2=CC(Cl)=CN(C)C2=O)[C@@H](C2=CC=C(Cl)C=C2)C2=C1N=C(C1=CN=C(OC)N=C1OC)N2C(C)C,10-1,G10,1.253,1.297
O=C([O-])C[C@H](O)C[C@H](O)/C=C/C1=C(C(C)C)N=C(N(C)S(=O)(C)=O)N=C1C2=CC=C(F)C=C2.[0.5Ca2+],10-1,G11,1.219,1.264
FC1=C(CS(C2=CC(F)=C(SC3=NC(NC4=NNC(C)=C4)=C(OC)C(N4CCCCC4)=N3)C=C2)(=O)=O)C=CC=C1[N+]([O-])=O,10-1,H02,1.233,1.241
O[C@H]1[C@@H](O)[C@H](N2C=NC3=C2N=CN=C3N)O[C@@H]1CSCC(C)C,10-1,H03,1.182,1.173
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](N2C=NC3=C2N=CN=C3NCCC2=CC=C(N)C=C2)O1,10-1,H04,1.191,1.193
N#CC1=NC(OC2=CC(C3=CC=C(CN)C=C3)=CC=C2)=CC=N1,10-1,H05,1.224,1.224
O=C(C1(N)CCN(C([C@@H](CCCCN)NC([C@@H](CC(C)C)NC([C@@H](CC2=CC=CC=C2)NC([C@@H](CC2=CC=CC=C2)N)=O)=O)=O)=O)CC1)O,10-1,H06,1.202,1.2
